County Code,3,10,15,16,18,19,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,37,39,40,41,43,44,45,46,47,48,51,52,53,54,56,57,58,59,60,61,62,63,64,67,68,69,70,71,72,73,74,75,76,78,82,84,85,86,88,89,90,93,94,95,96,97,100,105,107,108,109,110,111,112,113,114,115,117,118,120,122,123,124,125,126,127,128,129,130,131,133,136,Population
1001,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55278
1003,,,,,,410,,,,,,,48,,,,,,,,,,,,,,,,,,,,,11,608,466,,,256,,,150,,86,81,,14,,37,,,,,,,,37,,,37,,,,,,,,,,,,,,,194,39,16,15,,,,,,,12,,,,,,,,,,207509
1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,22633
1009,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,57562
1015,,,,,,206,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,505,432,,,112,10,,22,,,186,,93,,,,,,,,,,10,,,10,,,,,,,,,,,,,,,21,31,12,12,,,,,,,12,10,,,,,,,,,114980
1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33717
1021,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43830
1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24350
1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51217
1033,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,54327
1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10809
1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37386
1043,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,286,173,,,12,,,10,,10,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,82322
1045,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,10,,,,,,,,,,,,,,,,,49228
1047,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,,,,,,40081
1049,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,160,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,29,,,,12,,,,,,,,,,,,,,,71216
1051,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,79,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,12,11,,,,,,,,,,,,,,,,,81240
1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37476
1055,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,441,359,,,31,,,,,,145,11,36,,,,,,,,,,33,,,33,,,,,,,,,,,,,,,10,27,11,11,,,,,,,,,,,,,,,,,102726
